corp_code,corp_name,stock_code,ceo_nm,induty_code,adres,hm_url,est_dt,acc_mt,updated_at
00170558,코웨이,021240,서장원,969,충청남도 공주시 유구읍 유구마곡사로 136-23,company.coway.com,19890502,12,2026-07-09T22:25:36
00269940,하나투어,039130,송미선,75210,서울특별시 종로구 인사동5길 41 (주)하나투어,www.hanatour.com,19931101,12,2026-07-09T22:25:36
00360577,엑사이엔씨,054940,김성후 (단독 대표이사),424,서울특별시 구로구  디지털로 288,www.exaenc.com,19910503,12,2026-07-09T22:25:36
00204262,한글과컴퓨터,030520,"변성준, 김연수 (각자대표)",582,"경기도 성남시 분당구 대왕판교로644번길 49 (삼평동, 한컴타워)",www.hancom.com,19901102,12,2026-07-09T22:25:36
00238153,파세코,037070,유일한,28519,경기도 안산시 단원구 원시로 248,www.paseco.co.kr,19860801,12,2026-07-09T22:25:37
00258421,기산텔레콤,035460,박병기,2642,서울특별시 송파구  오금로 111 세기빌딩 11층,www.kisantel.co.kr,19940906,12,2026-07-09T22:25:37
01576102,미래에셋글로벌리츠,396690,신현준,6811,서울특별시 종로구 종로 33 그랑서울,,20210521,03,2026-07-09T22:25:37
01062867,디알텍,214680,안성현,271,경기도 성남시 중원구 둔촌대로541번길 29 상대원동 3층,www.drtech.com,20150203,12,2026-07-09T22:25:38
00806972,매직마이크로,127160,김 덕 근,262,경기도 안산시 단원구 만해로 205 A동 215호,www.magicmicro.co.kr,20060811,12,2026-07-09T22:25:38
00359623,우리산업홀딩스,072470,김명준,303,경기도 용인시 기흥구 지삼로 89,www.woory.com,19890227,12,2026-07-09T22:25:38
00240857,바이오스마트,038460,윤호권,26293,서울특별시 성동구 광나루로 172-,www.bio-smart.com,19851230,12,2026-07-09T22:25:39
00306162,상상인,038540,"유준원, 이민식(각자 대표이사)",620,경기도 성남시 분당구 황새울로 358 -,www.sangsanginworld.co.kr,19890223,12,2026-07-09T22:25:39
00138260,SIMPAC,009160,최진식,24113,인천광역시 부평구  부평북로 141 (주)SIMPAC,www.simpac.co.kr,19730809,12,2026-07-09T22:25:39
00485177,일진파워,094820,이광섭,423,울산광역시 울주군  온산읍 산암로 42 (주)일진에너지,ijeng.com,19900207,12,2026-07-09T22:25:39
00261355,레드캡투어,038390,인유성,75210,서울특별시 중구 을지로 100파인에비뉴 B동 19층,www.redcap.co.kr,19960801,12,2026-07-09T22:25:40
00164724,현대엘리베이터,017800,조재천,29162,충청북도 충주시 충주산단1로 128 현대엘리베이터 -,www.hyundaielevator.co.kr,19840523,12,2026-07-09T22:25:40
00423177,텔레칩스,054450,이장규,2611,경기도 성남시 수정구 금토로80번길 27 ㈜텔레칩스 판교사옥,www.telechips.com,19991029,12,2026-07-09T22:25:40
01418260,폭스소프트,354230,정성주,58221,"경기도 성남시 분당구 하오개로 358-3 (운중동, 폭스소프트 센터)",www.foxsoft.kr,20050107,12,2026-07-09T22:25:41
00231442,디지틀조선,033130,김영수,631,서울특별시 중구  세종대로21길 52 (태평로1가),www.chosun.com,19951002,12,2026-07-09T22:25:41
