corp_code,corp_name,year,report_code,fs_div,account_nm,amount
00126380,삼성전자,2021,11011,OFS,부채총계,57918452000000
00126380,삼성전자,2021,11011,OFS,자본총계,193193732000000
00126380,삼성전자,2021,11011,OFS,매출액,199744705000000
00126380,삼성전자,2021,11011,OFS,매출원가,135823433000000
00126380,삼성전자,2021,11011,OFS,매출총이익,63921272000000
00126380,삼성전자,2021,11011,OFS,영업이익,31993162000000
00126380,삼성전자,2021,11011,OFS,당기순이익,30970954000000
00401731,LG전자,2025,11011,OFS,자산총계,35091143000000
00401731,LG전자,2025,11011,OFS,부채총계,22468951000000
00401731,LG전자,2025,11011,OFS,자본총계,12622192000000
00401731,LG전자,2025,11011,OFS,매출액,29554826000000
00401731,LG전자,2025,11011,OFS,매출원가,22476017000000
00401731,LG전자,2025,11011,OFS,매출총이익,7078809000000
00401731,LG전자,2025,11011,OFS,영업이익,-787504000000
00401731,LG전자,2025,11011,OFS,당기순이익,1030595000000
00401731,LG전자,2025,11011,OFS,영업활동현금흐름,-433940000000
00401731,LG전자,2025,11011,OFS,투자활동현금흐름,783207000000
00401731,LG전자,2025,11011,OFS,재무활동현금흐름,-517915000000
00401731,LG전자,2024,11011,OFS,자산총계,34898482000000
00401731,LG전자,2024,11011,OFS,부채총계,23421431000000
00401731,LG전자,2024,11011,OFS,자본총계,11477051000000
00401731,LG전자,2024,11011,OFS,매출액,30762552000000
00401731,LG전자,2024,11011,OFS,매출원가,22359808000000
00401731,LG전자,2024,11011,OFS,매출총이익,8402744000000
00401731,LG전자,2024,11011,OFS,영업이익,558964000000
00401731,LG전자,2024,11011,OFS,당기순이익,1136633000000
00401731,LG전자,2024,11011,OFS,영업활동현금흐름,1866415000000
00401731,LG전자,2024,11011,OFS,투자활동현금흐름,-2557783000000
00401731,LG전자,2024,11011,OFS,재무활동현금흐름,-454257000000
00401731,LG전자,2023,11011,OFS,자산총계,31747553000000
00401731,LG전자,2023,11011,OFS,부채총계,21232006000000
00401731,LG전자,2023,11011,OFS,자본총계,10515547000000
00401731,LG전자,2023,11011,OFS,매출액,28868279000000
00401731,LG전자,2023,11011,OFS,매출원가,21159059000000
00401731,LG전자,2023,11011,OFS,매출총이익,7709220000000
00401731,LG전자,2023,11011,OFS,영업이익,576755000000
00401731,LG전자,2023,11011,OFS,당기순이익,1004096000000
00401731,LG전자,2023,11011,OFS,영업활동현금흐름,1307611000000
00401731,LG전자,2023,11011,OFS,투자활동현금흐름,-2299562000000
00401731,LG전자,2023,11011,OFS,재무활동현금흐름,1410266000000
00401731,LG전자,2022,11011,OFS,자산총계,28712814000000
00401731,LG전자,2022,11011,OFS,부채총계,18823785000000
00401731,LG전자,2022,11011,OFS,자본총계,9889029000000
00401731,LG전자,2022,11011,OFS,매출액,27791746000000
00401731,LG전자,2022,11011,OFS,매출원가,20434697000000
00401731,LG전자,2022,11011,OFS,매출총이익,7357049000000
00401731,LG전자,2022,11011,OFS,영업이익,110787000000
00401731,LG전자,2022,11011,OFS,당기순이익,854963000000
00401731,LG전자,2022,11011,OFS,영업활동현금흐름,383188000000
00401731,LG전자,2022,11011,OFS,투자활동현금흐름,-86749000000
00401731,LG전자,2022,11011,OFS,재무활동현금흐름,-357828000000
00401731,LG전자,2021,11011,OFS,자산총계,29593524000000
00401731,LG전자,2021,11011,OFS,부채총계,20703269000000
00401731,LG전자,2021,11011,OFS,자본총계,8890255000000
00401731,LG전자,2021,11011,OFS,매출액,27778047000000
00401731,LG전자,2021,11011,OFS,매출원가,20336781000000
00401731,LG전자,2021,11011,OFS,매출총이익,7441266000000
00401731,LG전자,2021,11011,OFS,영업이익,446426000000
00401731,LG전자,2021,11011,OFS,당기순이익,-913538000000
00401731,LG전자,2021,11011,OFS,영업활동현금흐름,1036470000000
00401731,LG전자,2021,11011,OFS,투자활동현금흐름,-384791000000
00401731,LG전자,2021,11011,OFS,재무활동현금흐름,-555223000000
00126380,삼성전자,2022,11011,CFS,영업활동현금흐름,62181346000000
00126380,삼성전자,2022,11011,CFS,투자활동현금흐름,-31602804000000
00126380,삼성전자,2022,11011,CFS,재무활동현금흐름,-19390049000000
00126380,삼성전자,2021,11011,CFS,영업활동현금흐름,65105448000000
00126380,삼성전자,2021,11011,CFS,투자활동현금흐름,-33047763000000
00126380,삼성전자,2021,11011,CFS,재무활동현금흐름,-23991033000000
00126380,삼성전자,2022,11011,OFS,영업활동현금흐름,44788749000000
00126380,삼성전자,2022,11011,OFS,투자활동현금흐름,-28123886000000
00126380,삼성전자,2022,11011,OFS,재무활동현금흐름,-16665064000000
00126380,삼성전자,2021,11011,OFS,영업활동현금흐름,51250069000000
00126380,삼성전자,2021,11011,OFS,투자활동현금흐름,-24435207000000
00126380,삼성전자,2021,11011,OFS,재무활동현금흐름,-23885054000000
00298447,아모텍,2025,11011,OFS,자산총계,371882079055
00298447,아모텍,2025,11011,OFS,부채총계,208382080143
00298447,아모텍,2025,11011,OFS,자본총계,163499998912
00298447,아모텍,2025,11011,OFS,매출액,220030192571
00298447,아모텍,2025,11011,OFS,매출원가,185882788361
00298447,아모텍,2025,11011,OFS,매출총이익,34147404210
00298447,아모텍,2025,11011,OFS,영업이익,4598266429
00298447,아모텍,2025,11011,OFS,당기순이익,930334089
00298447,아모텍,2025,11011,OFS,영업활동현금흐름,9713065212
00298447,아모텍,2025,11011,OFS,투자활동현금흐름,-7510255515
00298447,아모텍,2025,11011,OFS,재무활동현금흐름,925696058
00298447,아모텍,2024,11011,OFS,자산총계,377934417122
00298447,아모텍,2024,11011,OFS,부채총계,215115957357
00298447,아모텍,2024,11011,OFS,자본총계,162818459765
00298447,아모텍,2024,11011,OFS,매출액,192498815012
00298447,아모텍,2024,11011,OFS,매출원가,190413521847
